"item_code","category_code","item_name","fkko_code","hazard_class"
"84210101213","OSSG","балласт из щебня, загрязненный нефтепродуктами (содержание нефтепродуктов 15% и более)","84210101213","5"
"84210102214","OSSG","балласт из щебня, загрязненный нефтепродуктами (содержание нефтепродуктов менее 15%)","84210102214","5"
"84219000000","OSSG","Балласт из прочих материалов загрязненный","84219000000","5"
"84220000000","OSSG","Отходы грунта, снятого при ремонте железнодорожного полотна","84220000000","5"
"84220101493","OSSG","отходы грунта, снятого при ремонте железнодорожного полотна, загрязненного нефтепродуктами, умеренно опасные","84220101493","5"
"84220102494","OSSG","отходы грунта, снятого при ремонте железнодорожного полотна, загрязненного нефтепродуктами, малоопасные","84220102494","5"
"84900000000","OSSG","Прочие отходы при демонтаже, ремонте железнодорожного путевого хозяйства","84900000000","5"
"84921112205","OSSG","отходы древесные от замены железнодорожных шпал","84921112205","5"
"88235111214","OSSG","отходы и лом диабазовой плитки, загрязненной кремнийорганическими соединениями","88235111214","5"
"88510000000","OSSG","Отходы строительства и ремонта радиационно-опасных объектов","88510000000","5"
"88511111614","OSSG","отходы изделий из древесины при проведении строительных и ремонтных работ на радиационно-опасных объектах","88511111614","5"
"88512111723","OSSG","отходы изделий из цветных металлов в смеси с преимущественным содержанием меди при проведении строительных и ремонтных работ на радиационно-опасных объектах","88512111723","5"
"88512211724","OSSG","отходы изделий из черных металлов в смеси при проведении строительных и ремонтных работ на радиационно-опасных объектах","88512211724","5"
"88512311504","OSSG","отходы тары из черных металлов при проведении ремонтных и строительных работ на радиационно-опасных объектах","88512311504","5"
"88513111514","OSSG","отходы минеральной ваты при проведении строительных и ремонтных работ на радиационно-опасных объектах","88513111514","5"
"88513121524","OSSG","отходы рулонных кровельных и гидроизоляционных материалов при проведении работ на радиационно-опасных объектах","88513121524","5"
"88518111724","OSSG","мусор строительный, содержащий преимущественно неметаллические минеральные строительные материалы, при проведении строительных и ремонтных работ на радиационно-опасных объектах","88518111724","5"
"89000000000","OSSG","ПРОЧИЕ ОТХОДЫ СТРОИТЕЛЬСТВА И РЕМОНТА","89000000000","5"
"89000001724","OSSG","отходы (мусор) от строительных и ремонтных работ","89000001724","5"
"89000002494","OSSG","отходы (остатки) песчано-гравийной смеси при строительных, ремонтных работах","89000002494","5"
